Benchmark finished!
|     |   batch |   q_seq_length |   kv_seq_length |   num_heads_q |   num_heads_kv |   head_dim | causal   | local   | use_sinks   |   page_size | provider   |     tflops |   bandwidth |         ms |
| 106 |       1 |            128 |            4096 |            16 |              4 |        128 | True     | False   | False       |           0 | flash_attn | 26.0801    |    57.3048  |   0.164684 |
| 107 |       1 |            128 |            4096 |            16 |              4 |        128 | True     | False   | False       |         128 | flash_attn | 10.9196    |    23.9932  |   0.393328 |
| 108 |       1 |            128 |            1024 |            16 |              8 |        128 | True     | False   | False       |           0 | flash_attn | 21.9203    |   107.033   |   0.048984 |
| 109 |       1 |            128 |            1024 |            16 |              8 |        128 | True     | False   | False       |         128 | flash_attn | 10.1619    |    49.6184  |   0.105664 |
| 110 |       1 |            128 |            4096 |            16 |              8 |        128 | True     | False   | False       |           0 | flash_attn | 25.7548    |   106.892   |   0.166764 |
| 111 |       1 |            128 |            4096 |            16 |              8 |        128 | True     | False   | False       |         128 | flash_attn | 10.9326    |    45.3744  |   0.39286  |
| 112 |       1 |            128 |            1024 |            16 |              4 |        256 | True     | False   | False       |           0 | flash_attn | 19.3342    |    56.643   |   0.111072 |
| 113 |       1 |            128 |            1024 |            16 |              4 |        256 | True     | False   | False       |         128 | flash_attn | 15.3182    |    44.8774  |   0.140192 |
| 114 |       1 |            128 |            4096 |            16 |              4 |        256 | True     | False   | False       |           0 | flash_attn | 21.71      |    47.7025  |   0.395668 |
| 115 |       1 |            128 |            4096 |            16 |              4 |        256 | True     | False   | False       |         128 | flash_attn | 16.6171    |    36.5123  |   0.516932 |
| 116 |       1 |            128 |            1024 |            16 |              8 |        256 | True     | False   | False       |           0 | flash_attn | 19.2261    |    93.8777  |   0.111696 |
| 117 |       1 |            128 |            1024 |            16 |              8 |        256 | True     | False   | False       |         128 | flash_attn | 15.508     |    75.7226  |   0.138476 |
| 118 |       1 |            128 |            4096 |            16 |              8 |        256 | True     | False   | False       |           0 | flash_attn | 21.8002    |    90.4794  |   0.39403  |
